02_to_01,6
02_to_02,11
02_to_03,6
02_to_04,4
02_to_05,3
02_to_06,5
02_to_07,4
02_to_08,4
02_to_09,5
02_to_10,5
02_to_11,11
02_to_12,4
02_to_13,4
02_to_14,4
02_to_15,6
02_to_43,0
02_to_44,2
02_to_45,2
02_to_46,0
02_to_47,0
02_to_48,0
02_to_49,1
02_to_50,1
02_to_51,2
02_to_52,1
02_to_53,2
02_to_54,1
02_to_55,0
02_to_56,2
02_to_57,2
02_to_58,0
02_to_59,0
02_to_60,0
02_to_61,0
02_to_62,0
02_to_63,0
02_to_64,1
02_to_65,1
02_to_66,0
02_to_67,0
02_to_68,3
02_to_69,1
02_to_70,0
02_to_71,2
02_to_72,0
02_to_73,0
02_to_74,0
02_to_75,0
02_to_76,0
02_to_77,1
02_to_78,1
02_to_79,1
02_to_80,0
02_to_81,0
02_to_82,0
