0.707107,0.014607
0.816497,0.012753
0.790569,0.033536
0.816497,0.008947
0.948683,0.018788
0.866025,0.012813
0.804400,0.006281
0.840168,0.013047
0.630286,0.005170
0.857493,0.003979
0.892805,0.003395
0.943616,0.004237
0.987421,0.001679
0.862317,0.001808
0.852803,0.003547
0.764687,0.006950
0.877650,0.002080
0.989743,0.005465
0.990697,0.003275
0.941469,0.006817
0.862662,0.003943
0.972345,0.006290
0.772802,0.006217
0.845154,0.003424
0.962950,0.002363
0.969536,0.001727
0.816497,0.003003
0.834058,0.004134
0.912871,0.006561
0.816497,0.004525
0.959715,0.004852
0.920775,0.004757
0.941124,0.001266
0.903696,0.008885
0.884652,0.003623
0.882843,0.003700
0.975506,0.001610
0.877971,0.001042
0.972598,0.003175
0.988827,0.010766
0.941124,0.002958
0.712697,0.002358
0.816497,0.003025
0.829646,0.002460
88,0.020707
